family_id,model,series,configuration,profile_configuration,training_fraction,training_rows,test_poisson_deviance,manuscript_deviance_5dp,parameters_trainable,parameters_total,parameters_non_trainable,parameters_embedding_trainable,parameters_non_embedding_trainable,flops_train_per_epoch_one_seed,prediction_ensemble_seeds,source_table
ffn,FFN (very small),main_sweep_size_ladder,ffn_very_small,ffn_very_small,0.05,201985,0.294241353,0.29424,7205,7237,32,2580,4625,5782732800,5,tab:size_scaling_baselines
ffn,FFN (very small),main_sweep_size_ladder,ffn_very_small,ffn_very_small,0.1,404283,0.292665232,0.29267,7205,7237,32,2580,4625,11449810944,5,tab:size_scaling_baselines
ffn,FFN (very small),main_sweep_size_ladder,ffn_very_small,ffn_very_small,0.25,1010056,0.291854838,0.29185,7205,7237,32,2580,4625,28566700032,5,tab:size_scaling_baselines
ffn,FFN (very small),main_sweep_size_ladder,ffn_very_small,ffn_very_small,0.5,2018631,0.291385045,0.29139,7205,7237,32,2580,4625,57017745408,5,tab:size_scaling_baselines
ffn,FFN (very small),main_sweep_size_ladder,ffn_very_small,ffn_very_small,0.75,3026912,0.291087283,0.29109,7205,7237,32,2580,4625,85468790784,5,tab:size_scaling_baselines
ffn,FFN (very small),main_sweep_size_ladder,ffn_very_small,ffn_very_small,1.0,4034782,0.290977202,0.29098,7205,7237,32,2580,4625,114035490816,5,tab:size_scaling_baselines
ffn,FFN (small),main_sweep_size_ladder,ffn_small,ffn_small,0.05,201985,0.297901904,0.29790,24073,24169,96,5160,18913,23398809600,5,tab:size_scaling_baselines
ffn,FFN (small),main_sweep_size_ladder,ffn_small,ffn_small,0.1,404283,0.293040597,0.29304,24073,24169,96,5160,18913,46329643008,5,tab:size_scaling_baselines
ffn,FFN (small),main_sweep_size_ladder,ffn_small,ffn_small,0.25,1010056,0.291868616,0.29187,24073,24169,96,5160,18913,115590119424,5,tab:size_scaling_baselines
ffn,FFN (small),main_sweep_size_ladder,ffn_small,ffn_small,0.5,2018631,0.2913214,0.29132,24073,24169,96,5160,18913,230712262656,5,tab:size_scaling_baselines
ffn,FFN (small),main_sweep_size_ladder,ffn_small,ffn_small,0.75,3026912,0.291013952,0.29101,24073,24169,96,5160,18913,345834405888,5,tab:size_scaling_baselines
ffn,FFN (small),main_sweep_size_ladder,ffn_small,ffn_small,1.0,4034782,0.290868326,0.29087,24073,24169,96,5160,18913,461424525312,5,tab:size_scaling_baselines
ffn,FFN (medium),main_sweep_size_ladder,ffn_medium,ffn_medium,0.05,201985,0.300546137,0.30055,64829,65021,192,7740,57089,70397952000,5,tab:size_scaling_baselines
ffn,FFN (medium),main_sweep_size_ladder,ffn_medium,ffn_medium,0.1,404283,0.294025906,0.29403,64829,65021,192,7740,57089,139387944960,5,tab:size_scaling_baselines
ffn,FFN (medium),main_sweep_size_ladder,ffn_medium,ffn_medium,0.25,1010056,0.291664313,0.29166,64829,65021,192,7740,57089,347765882880,5,tab:size_scaling_baselines
ffn,FFN (medium),main_sweep_size_ladder,ffn_medium,ffn_medium,0.5,2018631,0.291259184,0.29126,64829,65021,192,7740,57089,694123806720,5,tab:size_scaling_baselines
ffn,FFN (medium),main_sweep_size_ladder,ffn_medium,ffn_medium,0.75,3026912,0.290957564,0.29096,64829,65021,192,7740,57089,1040481730560,5,tab:size_scaling_baselines
ffn,FFN (medium),main_sweep_size_ladder,ffn_medium,ffn_medium,1.0,4034782,0.290698748,0.29070,64829,65021,192,7740,57089,1388247613440,5,tab:size_scaling_baselines
ffn,FFN (large),main_sweep_size_ladder,ffn_large,ffn_large,0.05,201985,0.298650788,0.29865,167185,167633,448,10320,156865,193238630400,5,tab:size_scaling_baselines
ffn,FFN (large),main_sweep_size_ladder,ffn_large,ffn_large,0.1,404283,0.294375952,0.29438,167185,167633,448,10320,156865,382612488192,5,tab:size_scaling_baselines
ffn,FFN (large),main_sweep_size_ladder,ffn_large,ffn_large,0.25,1010056,0.291851359,0.29185,167185,167633,448,10320,156865,954598834176,5,tab:size_scaling_baselines
ffn,FFN (large),main_sweep_size_ladder,ffn_large,ffn_large,0.5,2018631,0.291337465,0.29134,167185,167633,448,10320,156865,1905332895744,5,tab:size_scaling_baselines
ffn,FFN (large),main_sweep_size_ladder,ffn_large,ffn_large,0.75,3026912,0.290893429,0.29089,167185,167633,448,10320,156865,2856066957312,5,tab:size_scaling_baselines
ffn,FFN (large),main_sweep_size_ladder,ffn_large,ffn_large,1.0,4034782,0.290628058,0.29063,167185,167633,448,10320,156865,3810665791488,5,tab:size_scaling_baselines
ffn,FFN (very large),main_sweep_size_ladder,ffn_very_large,ffn_very_large,0.05,201985,0.301789063,0.30179,646689,647585,896,20640,626049,770184806400,5,tab:size_scaling_baselines
ffn,FFN (very large),main_sweep_size_ladder,ffn_very_large,ffn_very_large,0.1,404283,0.294495693,0.29450,646689,647585,896,20640,626049,1524965916672,5,tab:size_scaling_baselines
ffn,FFN (very large),main_sweep_size_ladder,ffn_very_large,ffn_very_large,0.25,1010056,0.29198967,0.29199,646689,647585,896,20640,626049,3804712943616,5,tab:size_scaling_baselines
ffn,FFN (very large),main_sweep_size_ladder,ffn_very_large,ffn_very_large,0.5,2018631,0.291181574,0.29118,646689,647585,896,20640,626049,7594022191104,5,tab:size_scaling_baselines
ffn,FFN (very large),main_sweep_size_ladder,ffn_very_large,ffn_very_large,0.75,3026912,0.290859278,0.29086,646689,647585,896,20640,626049,11383331438592,5,tab:size_scaling_baselines
ffn,FFN (very large),main_sweep_size_ladder,ffn_very_large,ffn_very_large,1.0,4034782,0.290583286,0.29058,646689,647585,896,20640,626049,15188044382208,5,tab:size_scaling_baselines
transformer,Transformer (tiny),main_sweep_size_ladder,transformer_tiny,transformer_tiny,0.05,201985,0.297121273,0.29712,17638,17798,160,9200,8438,876965856000,5,tab:size_scaling_baselines
transformer,Transformer (tiny),main_sweep_size_ladder,transformer_tiny,transformer_tiny,0.1,404283,0.294630601,0.29463,17638,17798,160,9200,8438,1753931712000,5,tab:size_scaling_baselines
transformer,Transformer (tiny),main_sweep_size_ladder,transformer_tiny,transformer_tiny,0.25,1010056,0.292027,0.29203,17638,17798,160,9200,8438,4317370368000,5,tab:size_scaling_baselines
transformer,Transformer (tiny),main_sweep_size_ladder,transformer_tiny,transformer_tiny,0.5,2018631,0.291754312,0.29175,17638,17798,160,9200,8438,8567281824000,5,tab:size_scaling_baselines
transformer,Transformer (tiny),main_sweep_size_ladder,transformer_tiny,transformer_tiny,0.75,3026912,0.292588103,0.29259,17638,17798,160,9200,8438,12817193280000,5,tab:size_scaling_baselines
transformer,Transformer (tiny),main_sweep_size_ladder,transformer_tiny,transformer_tiny,1.0,4034782,0.29104044,0.29104,17638,17798,160,9200,8438,17067104736000,5,tab:size_scaling_baselines
transformer,Transformer (small),main_sweep_size_ladder,transformer_small,transformer_small,0.05,201985,0.294307491,0.29431,48722,48946,224,13800,34922,3416139168000,5,tab:size_scaling_baselines
transformer,Transformer (small),main_sweep_size_ladder,transformer_small,transformer_small,0.1,404283,0.292742464,0.29274,48722,48946,224,13800,34922,6832278336000,5,tab:size_scaling_baselines
transformer,Transformer (small),main_sweep_size_ladder,transformer_small,transformer_small,0.25,1010056,0.291958,0.29196,48722,48946,224,13800,34922,16817915904000,5,tab:size_scaling_baselines
transformer,Transformer (small),main_sweep_size_ladder,transformer_small,transformer_small,0.5,2018631,0.291475832,0.29148,48722,48946,224,13800,34922,33373051872000,5,tab:size_scaling_baselines
transformer,Transformer (small),main_sweep_size_ladder,transformer_small,transformer_small,0.75,3026912,0.291098095,0.29110,48722,48946,224,13800,34922,49928187840000,5,tab:size_scaling_baselines
transformer,Transformer (small),main_sweep_size_ladder,transformer_small,transformer_small,1.0,4034782,0.290901418,0.29090,48722,48946,224,13800,34922,66483323808000,5,tab:size_scaling_baselines
transformer,Transformer (medium),main_sweep_size_ladder,transformer_medium,transformer_medium,0.05,201985,0.293584822,0.29358,162842,163194,352,23000,139842,12365871648000,5,tab:size_scaling_baselines
transformer,Transformer (medium),main_sweep_size_ladder,transformer_medium,transformer_medium,0.1,404283,0.293027899,0.29303,162842,163194,352,23000,139842,24731743296000,5,tab:size_scaling_baselines
transformer,Transformer (medium),main_sweep_size_ladder,transformer_medium,transformer_medium,0.25,1010056,0.291663,0.29166,162842,163194,352,23000,139842,60878137344000,5,tab:size_scaling_baselines
transformer,Transformer (medium),main_sweep_size_ladder,transformer_medium,transformer_medium,0.5,2018631,0.2912212,0.29122,162842,163194,352,23000,139842,120805053792000,5,tab:size_scaling_baselines
transformer,Transformer (medium),main_sweep_size_ladder,transformer_medium,transformer_medium,0.75,3026912,0.290998126,0.29100,162842,163194,352,23000,139842,180731970240000,5,tab:size_scaling_baselines
transformer,Transformer (medium),main_sweep_size_ladder,transformer_medium,transformer_medium,1.0,4034782,0.290845812,0.29085,162842,163194,352,23000,139842,240658886688000,5,tab:size_scaling_baselines
transformer,Transformer (large),main_sweep_size_ladder,transformer_large,transformer_large,0.05,201985,0.293396745,0.29340,506362,506906,544,36800,469562,38872358304000,5,tab:size_scaling_baselines
transformer,Transformer (large),main_sweep_size_ladder,transformer_large,transformer_large,0.1,404283,0.293152666,0.29315,506362,506906,544,36800,469562,77744716608000,5,tab:size_scaling_baselines
transformer,Transformer (large),main_sweep_size_ladder,transformer_large,transformer_large,0.25,1010056,0.291848,0.29185,506362,506906,544,36800,469562,191371610112000,5,tab:size_scaling_baselines
transformer,Transformer (large),main_sweep_size_ladder,transformer_large,transformer_large,0.5,2018631,0.291295664,0.29130,506362,506906,544,36800,469562,379753038816000,5,tab:size_scaling_baselines
transformer,Transformer (large),main_sweep_size_ladder,transformer_large,transformer_large,0.75,3026912,0.291001082,0.29100,506362,506906,544,36800,469562,568134467520000,5,tab:size_scaling_baselines
transformer,Transformer (large),main_sweep_size_ladder,transformer_large,transformer_large,1.0,4034782,0.290939,0.29094,506362,506906,544,36800,469562,756515896224000,5,tab:size_scaling_baselines
multicls,MultiCLS (tiny),main_sweep_size_ladder,transformer_multicls_tiny,transformer_multicls_tiny,0.05,201985,0.293789042,0.29379,18311,18535,224,9232,9079,884360601600,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (tiny),main_sweep_size_ladder,transformer_multicls_tiny,transformer_multicls_tiny,0.1,404283,0.292627486,0.29263,18311,18535,224,9232,9079,1751033991168,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (tiny),main_sweep_size_ladder,transformer_multicls_tiny,transformer_multicls_tiny,0.25,1010056,0.291884536,0.29188,18311,18535,224,9232,9079,4368741371904,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (tiny),main_sweep_size_ladder,transformer_multicls_tiny,transformer_multicls_tiny,0.5,2018631,0.291481783,0.29148,18311,18535,224,9232,9079,8719795531776,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (tiny),main_sweep_size_ladder,transformer_multicls_tiny,transformer_multicls_tiny,0.75,3026912,0.291183875,0.29118,18311,18535,224,9232,9079,13070849691648,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (tiny),main_sweep_size_ladder,transformer_multicls_tiny,transformer_multicls_tiny,1.0,4034782,0.291059632,0.29106,18311,18535,224,9232,9079,17439591063552,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (small),main_sweep_size_ladder,transformer_multicls_small,transformer_multicls_small,0.05,201985,0.293390279,0.29339,51566,52078,512,13944,37622,3588323328000,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (small),main_sweep_size_ladder,transformer_multicls_small,transformer_multicls_small,0.1,404283,0.292344574,0.29234,51566,52078,512,13944,37622,7104880189440,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (small),main_sweep_size_ladder,transformer_multicls_small,transformer_multicls_small,0.25,1010056,0.291739729,0.29174,51566,52078,512,13944,37622,17726317240320,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (small),main_sweep_size_ladder,transformer_multicls_small,transformer_multicls_small,0.5,2018631,0.291358871,0.29136,51566,52078,512,13944,37622,35380868014080,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (small),main_sweep_size_ladder,transformer_multicls_small,transformer_multicls_small,0.75,3026912,0.291000568,0.29100,51566,52078,512,13944,37622,53035418787840,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (small),main_sweep_size_ladder,transformer_multicls_small,transformer_multicls_small,1.0,4034782,0.290999058,0.29100,51566,52078,512,13944,37622,70761736028160,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (medium),main_sweep_size_ladder,transformer_multicls_medium,transformer_multicls_medium,0.05,201985,0.293211324,0.29321,170632,171784,1152,23400,147232,13431211622400,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (medium),main_sweep_size_ladder,transformer_multicls_medium,transformer_multicls_medium,0.1,404283,0.29259017,0.29259,170632,171784,1152,23400,147232,26593799012352,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (medium),main_sweep_size_ladder,transformer_multicls_medium,transformer_multicls_medium,0.25,1010056,0.291675642,0.29168,170632,171784,1152,23400,147232,66350185414656,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (medium),main_sweep_size_ladder,transformer_multicls_medium,transformer_multicls_medium,0.5,2018631,0.291203554,0.29120,170632,171784,1152,23400,147232,132431746596864,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (medium),main_sweep_size_ladder,transformer_multicls_medium,transformer_multicls_medium,0.75,3026912,0.291063582,0.29106,170632,171784,1152,23400,147232,198513307779072,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (medium),main_sweep_size_ladder,transformer_multicls_medium,transformer_multicls_medium,1.0,4034782,0.290779673,0.29078,170632,171784,1152,23400,147232,264863493193728,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (large),main_sweep_size_ladder,transformer_multicls_large,transformer_multicls_large,0.05,201985,0.293222484,0.29322,523754,526090,2336,37696,486058,43524158668800,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (large),main_sweep_size_ladder,transformer_multicls_large,transformer_multicls_large,0.1,404283,0.292324009,0.29232,523754,526090,2336,37696,486058,86177834164224,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (large),main_sweep_size_ladder,transformer_multicls_large,transformer_multicls_large,0.25,1010056,0.291792115,0.29179,523754,526090,2336,37696,486058,215009343823872,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (large),main_sweep_size_ladder,transformer_multicls_large,transformer_multicls_large,0.5,2018631,0.291311569,0.29131,523754,526090,2336,37696,486058,429148204474368,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (large),main_sweep_size_ladder,transformer_multicls_large,transformer_multicls_large,0.75,3026912,0.290892129,0.29089,523754,526090,2336,37696,486058,643287065124864,5,tab:size_scaling_transformer_fixes
multicls,MultiCLS (large),main_sweep_size_ladder,transformer_multicls_large,transformer_multicls_large,1.0,4034782,0.291096063,0.29110,523754,526090,2336,37696,486058,858296408948736,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (tiny),main_sweep_size_ladder,transformer_multicls_tabm_mini_tiny,transformer_multicls_tabm_mini_tiny,0.05,201985,0.293213559,0.29321,33598,33822,224,9232,24366,7066642636800,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (tiny),main_sweep_size_ladder,transformer_multicls_tabm_mini_tiny,transformer_multicls_tabm_mini_tiny,0.1,404283,0.292496861,0.29250,33598,33822,224,9232,24366,13991952420864,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (tiny),main_sweep_size_ladder,transformer_multicls_tabm_mini_tiny,transformer_multicls_tabm_mini_tiny,0.25,1010056,0.291855332,0.29186,33598,33822,224,9232,24366,34909214625792,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (tiny),main_sweep_size_ladder,transformer_multicls_tabm_mini_tiny,transformer_multicls_tabm_mini_tiny,0.5,2018631,0.291289032,0.29129,33598,33822,224,9232,24366,69677096398848,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (tiny),main_sweep_size_ladder,transformer_multicls_tabm_mini_tiny,transformer_multicls_tabm_mini_tiny,0.75,3026912,0.290992928,0.29099,33598,33822,224,9232,24366,104444978171904,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (tiny),main_sweep_size_ladder,transformer_multicls_tabm_mini_tiny,transformer_multicls_tabm_mini_tiny,1.0,4034782,0.290870606,0.29087,33598,33822,224,9232,24366,139354192797696,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (small),main_sweep_size_ladder,transformer_multicls_tabm_mini_small,transformer_multicls_tabm_mini_small,0.05,201985,0.292876276,0.29288,98765,99277,512,13944,84821,57362552217600,5,tab:size_scaling_transformer_fixes
hybrid,Transformer+TabM (small),main_sweep_size_ladder,transformer_multicls_tabm_mini_small,transformer_multicls_tabm_mini_small,0.1,404283,0.292232806,0.29223,98765,99277,512,13944,84821,113577853390848,5,tab:size_scaling_transformer_fixes
